File Name,Relative Path,Extension,Size (Bytes),Lines of Code
CRMLeadPipeline.tsx,src/components/dashboard/crm/CRMLeadPipeline.tsx,.tsx,9445,247
CRMPipelineBoard.tsx,src/components/dashboard/crm/CRMPipelineBoard.tsx,.tsx,12943,332
ContactDetailsView.tsx,src/components/dashboard/customer/ContactDetailsView.tsx,.tsx,29918,565
ContactDirectoryTable.tsx,src/components/dashboard/customer/ContactDirectoryTable.tsx,.tsx,27212,545
CustomerDashboardLayout.tsx,src/components/dashboard/customer/CustomerDashboardLayout.tsx,.tsx,5336,111
CustomerItinerary.tsx,src/components/dashboard/customer/CustomerItinerary.tsx,.tsx,3307,86
CustomerMoodboards.tsx,src/components/dashboard/customer/CustomerMoodboards.tsx,.tsx,8032,181
CustomerOverview.tsx,src/components/dashboard/customer/CustomerOverview.tsx,.tsx,9584,179
CustomerPhotos.tsx,src/components/dashboard/customer/CustomerPhotos.tsx,.tsx,8649,170
CustomerQuotes.tsx,src/components/dashboard/customer/CustomerQuotes.tsx,.tsx,16211,335
BranchSwitcher.tsx,src/components/dashboard/layout/BranchSwitcher.tsx,.tsx,588,16
DashboardBreadcrumbs.tsx,src/components/dashboard/layout/DashboardBreadcrumbs.tsx,.tsx,1043,34
DashboardHeader.tsx,src/components/dashboard/layout/DashboardHeader.tsx,.tsx,1527,39
DashboardLayout.tsx,src/components/dashboard/layout/DashboardLayout.tsx,.tsx,1204,41
DashboardMobileNav.tsx,src/components/dashboard/layout/DashboardMobileNav.tsx,.tsx,1138,33
DashboardNotifications.tsx,src/components/dashboard/layout/DashboardNotifications.tsx,.tsx,8701,231
DashboardQuickActions.tsx,src/components/dashboard/layout/DashboardQuickActions.tsx,.tsx,382,14
DashboardSidebar.tsx,src/components/dashboard/layout/DashboardSidebar.tsx,.tsx,2635,62
MobileNav.tsx,src/components/dashboard/layout/MobileNav.tsx,.tsx,3580,92
ModuleSwitcher.tsx,src/components/dashboard/layout/ModuleSwitcher.tsx,.tsx,602,18
OrganizationSwitcher.tsx,src/components/dashboard/layout/OrganizationSwitcher.tsx,.tsx,600,16
Sidebar.tsx,src/components/dashboard/layout/Sidebar.tsx,.tsx,3487,89
TopBar.tsx,src/components/dashboard/layout/TopBar.tsx,.tsx,1510,37
LiveInquiries.tsx,src/components/dashboard/LiveInquiries.tsx,.tsx,2195,43
DashboardOverviewHome.tsx,src/components/dashboard/overview/DashboardOverviewHome.tsx,.tsx,24456,481
PipelineChart.tsx,src/components/dashboard/overview/PipelineChart.tsx,.tsx,1490,41
